Restaurant Name,Description,Tags,Website,Rating,Review Count,Full Address,Coordinates,Phone
Blackhorse Pub & Brewery Knoxville,,"Restaurant, Brewery, Brewpub, Pub",https://blackhorsebrews.com/,4.4,444,"430 S Gay St, Knoxville, TN 37902",35.9654611 -83.9182045,+1 865-249-8511
Buffet knoxville,,"Family restaurant, Buffet restaurant",nan,4.3,32,"9645 Kingston Pike, Knoxville, TN 37922",35.9078886 -84.1069454,
Popeyes Louisiana Kitchen,"Louisiana-inspired fast-food chain known for its spicy fried chicken, biscuits & sides.","Chicken restaurant, Cajun restaurant, Fast food restaurant, Restaurant, Seafood restaurant",https://www.popeyes.com/store-locator/store/restaurant_84999,4.0,1880,"4801 Clinton Hwy, Knoxville, TN 37912",36.0011443 -83.97385249999999,+1 865-200-8176
Storming Crab™- Seafood Restaurant Knoxville,,"Restaurant, Crab house, Seafood restaurant",https://knoxville.stormingcrab.us/,4.4,1090,"8355 Kingston Pike, Knoxville, TN 37919",35.923900599999996 -84.05755119999999,+1 865-281-3888
Anaba Japanese Cuisine Downtown,,"Japanese restaurant, Ramen restaurant, Sushi restaurant",https://www.anabajapanese.com/,4.5,298,"131 S Gay St, Knoxville, TN 37902",35.9681772 -83.92039319999999,+1 865-474-1187
Gosh Ethiopian Restaurant,"Low-key, booth-lined restaurant for Ethiopian entrees served with the traditional flatbread.","Ethiopian restaurant, African restaurant, East African restaurant",https://www.goshethiopian.net/,4.7,336,"3609 Sutherland Ave, Knoxville, TN 37919",35.9474258 -83.9787667,+1 865-544-4475
Marco's Pizza,Counter-serve chain serving up a menu of specialty or custom pizzas for takeout or delivery.,"Pizza restaurant, Takeout Restaurant, Pizza delivery, Pizza Takeout",https://www.marcos.com/,4.0,140,"10910 Spring Bluff Way, Knoxville, TN 37932",35.94263 -84.164748,+1 865-247-7611
Taco Bell,"Fast-food chain serving Mexican-inspired fare such as tacos, quesadillas & nachos.","Fast food restaurant, Breakfast restaurant, Burrito restaurant, Lunch restaurant, Takeout Restaurant, Mexican restaurant, Restaurant, Taco restaurant, Tex-Mex restaurant, Vegetarian restaurant",https://locations.tacobell.com/tn/knoxville/11217-kingston-pike.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=029017&utm_content=website&y_source=1_NjE0Njk4MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,4.0,633,"11217 Kingston Pike, Knoxville, TN 37922",35.883869499999996 -84.1557965,+1 865-966-4144
Captain D's,Fast-food chain serving fried fish & shrimp combo meals along with gumbo & funnel cakes.,"Seafood restaurant, American restaurant, Family restaurant, Fast food restaurant, Fish & chips restaurant",https://locations.captainds.com/ll/US/TN/Knoxville/4320-Chapman-Hwy,3.7,433,"4320 Chapman Hwy, Knoxville, TN 37920",35.934892999999995 -83.905672,+1 865-579-1123
Subway,"Casual counter-serve chain for build-your-own sandwiches & salads, with health-conscious options.","Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",https://restaurants.subway.com/united-states/tn/knoxville/3317-sutherland-avenue?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=46618&utm_campaign=evergreen-2020&y_source=1_MTQ5MDUzMTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,3.9,99,"3317 Sutherland Ave, Knoxville, TN 37919",35.9500065 -83.9736166,+1 865-521-0994
Amber Restaurant,,"American restaurant, Breakfast restaurant",https://amberrestaurantknox.com/,4.1,487,"6715 Maynardville Pike, Knoxville, TN 37918",36.068339099999996 -83.9274647,+1 865-922-7641
Penne For Your Thoughts,,Restaurant,https://www.marblecitymarket.com/our-vendors/penne/,4.6,9,"333 W Depot Ave, Knoxville, TN 37917",35.9703464 -83.9221446,+1 865-253-7193
